phrase1, phrase2, phrase3, phrase4, phrase5, phrase6, phrase7, phrase8, phrase9, phrase10, phrase11, phrase12, phrase13, phrase14, phrase15, phrase16, phrase17, phrase18, phrase19, phrase20, phrase21, phrase22, phrase23, phrase24, phrase25, phrase26, phrase27, phrase28, phrase29, phrase30, symptom
"My joints are swollen", "I’m experiencing swelling in my joints", "There’s swelling in my knees", "My wrists are swollen and painful", "I feel swelling in my joints", "My joints are inflamed and swollen", "The swelling in my joints is making it hard to move", "I have swollen joints in my hands", "The swelling in my joints is causing discomfort", "My elbows are swollen", "I noticed swelling in my joints", "My joints are tender and swollen", "My knees feel swollen", "I have puffiness in my joints", "There’s noticeable swelling in my joints", "The swelling in my joints makes them stiff", "I can feel my joints swelling up", "My fingers are swollen","My joints are swollen","I’m experiencing swelling in my joints","There’s swelling in my knees","My wrists are swollen and painful","I feel swelling in my joints","My joints are inflamed and swollen","The swelling in my joints is making it hard to move","I have swollen joints in my hands","The swelling in my joints is causing discomfort","My elbows are swollen","I noticed swelling in my joints","My joints are tender and swollen","swelling_joints"
"My movements feel stiff", "I have difficulty moving due to stiffness", "My body feels stiff when I try to move", "I experience stiffness in my joints when I move", "I’m having trouble moving because of stiffness", "My muscles feel stiff and tight", "There’s a stiffness in my movement", "I feel stiffness in my arms and legs", "My neck feels stiff when I move it", "I can’t move freely because of stiffness", "Movement is difficult due to stiffness", "I have stiffness in my knees while walking", "My body feels rigid and stiff", "I feel a tightness in my movements", "I can barely move due to stiffness", "My movements are restricted because of stiffness", "There’s stiffness in my lower back when I move", "My hands feel stiff when I try to use them","My movement feels stiff","I can’t move freely because of stiffness","I’m having trouble with stiff movements","I feel like my movements are restricted","There’s stiffness in my movements","I can’t move easily due to stiffness","My movements feel slow and stiff","I’m struggling with movement stiffness","My body feels stiff when I try to move","There’s a sensation of stiffness in my movements","I’m having difficulty moving because of stiffness","My joints feel stiff, limiting my movement","movement_stiffness"
"I feel like everything is spinning around me", "The room feels like it's spinning", "I experience spinning sensations when I move", "I’m feeling dizzy with spinning movements", "My surroundings appear to be spinning", "I can’t stop the spinning sensation", "I feel like I’m spinning in circles", "There’s a spinning feeling in my head", "I experience a sensation of spinning even when I’m still", "The world feels like it’s spinning", "I feel nauseous because of the spinning movements", "The spinning sensation gets worse when I move", "My vision is spinning", "I can’t focus due to the spinning feeling", "Spinning movements make me feel disoriented", "I feel lightheaded and the room is spinning", "The spinning sensation is making me feel unsteady", "I feel like I’m in constant spinning motion","My movements are spinning","I feel dizzy and like my movements are spinning","I can’t control my spinning movements","I’m experiencing spinning sensations while moving","It feels like everything is spinning when I move","I feel like my body is spinning when I move","My movements feel disorienting and spinning","I feel dizzy and my movements seem to spin","I’m having trouble controlling my spinning movements","I feel as if my movements are out of control and spinning","I can’t keep my balance because my movements feel like they’re spinning","I feel disoriented due to spinning movements","spinning_movements"
"I’m feeling off balance", "I’m losing my balance when I stand", "I can’t seem to keep my balance", "I feel unsteady on my feet", "My balance is off and I’m stumbling", "I’m having trouble maintaining balance", "I feel like I might fall because of loss of balance", "I’m dizzy and can’t keep my balance", "There’s a constant feeling of imbalance", "I’m struggling to stay balanced while walking", "I feel like I’m going to fall due to loss of balance", "My movements feel uncoordinated because of balance issues", "I’m swaying from side to side due to loss of balance", "My sense of balance is completely off", "I’m having difficulty standing still because of loss of balance", "I feel disoriented and can’t keep my balance", "Loss of balance makes me feel unsafe", "I’m experiencing dizziness with loss of balance","I'm losing my balance","I can't seem to stay balanced","I’m experiencing a loss of balance","I feel unsteady on my feet","I’m having trouble keeping my balance","I feel like I might fall because of balance issues","I’m constantly losing my balance","I’m unsteady and can’t keep my balance","I feel like I can’t stay upright due to balance loss","My balance is off and I’m at risk of falling","I’m having difficulty standing because of balance issues","I’m feeling unstable when I stand or walk","loss_of_balance"
"I feel unsteady when I walk", "I’m experiencing unsteadiness on my feet", "I feel like I’m going to fall because of unsteadiness", "There’s a sense of unsteadiness when I stand", "I can’t seem to stay steady", "I feel unbalanced and unstable", "My movements are shaky and unsteady", "Unsteadiness makes it hard for me to walk normally", "I’m constantly swaying due to unsteadiness", "I feel like I’m stumbling because of unsteadiness", "Unsteadiness makes it difficult to move around", "I feel disoriented and unsteady", "There’s a persistent feeling of unsteadiness", "I’m having trouble staying steady on my feet", "I feel like I’m going to lose my balance due to unsteadiness", "I’m feeling unsteady even when sitting", "Unsteadiness is affecting my ability to perform tasks", "I can’t keep my balance because of unsteadiness", "I’m dealing with unsteadiness while walking","I feel unsteady","I’m experiencing a sense of unsteadiness","I can’t stay steady on my feet","I’m feeling off balance and unsteady","My body feels unsteady","I’m having trouble walking because of unsteadiness","I feel like I can’t control my movements due to unsteadiness","I’m struggling with feeling unsteady","There’s a constant unsteady feeling in my body","I’m feeling unstable and unsteady","I feel like I’m going to fall because of unsteadiness","unsteadiness"
"I’m experiencing weakness on one side of my body", "There’s weakness in my left side", "I feel weakness in my right side", "One side of my body feels weak", "I can’t move one side of my body as easily", "I’m having difficulty using one side of my body", "My right arm feels weak", "I’m struggling with weakness in my left leg", "There’s a loss of strength on one side of my body", "I’m unable to lift one side of my body", "One side of my body feels numb and weak", "I feel unbalanced due to weakness on one side", "I’m experiencing reduced strength on one side of my body", "My left hand feels weak", "My right side feels weaker than usual", "Weakness in one side of my body makes it hard to walk", "I feel like one side of my body is paralyzed", "I’m having trouble using one side of my body", "One side of my body feels completely drained","I feel weakness on one side of my body","I’m experiencing weakness on one side of my body","My left side (or right side) feels weaker","One side of my body feels weaker than the other","I’m noticing weakness in one arm/leg","The left side of my body feels weaker","My right side feels weak and heavy","I feel like one side of my body isn’t working properly","I’m struggling with weakness on one side of my body","I have noticeable weakness on one side of my body","I feel imbalance because of weakness on one side","weakness_of_one_body_side"
"I’ve lost my sense of smell", "I can’t smell anything anymore", "I’m unable to detect any odors", "My sense of smell is completely gone", "I’ve noticed a complete loss of smell", "I can’t smell food anymore", "There’s no scent in the air for me", "I’m having trouble smelling anything", "I’m experiencing a loss of smell", "I’m unable to identify smells around me", "My nose feels congested but I can’t smell", "I don’t smell anything even when I try", "My sense of smell has disappeared", "I can’t detect scents in my environment", "I can’t recognize smells anymore","I’ve lost my sense of smell","I can’t smell anything anymore","My sense of smell is gone","I can’t detect odors anymore","I feel like I’ve lost my sense of smell","I’m unable to smell anything around me","I can’t smell things that I normally would","I’ve noticed a complete loss of smell","I’m not able to smell anything anymore","My ability to smell is gone","I’m having trouble detecting scents and odors","I’ve lost my ability to smell things","I no longer have a sense of smell","I’ve lost my sense of smell","I can’t smell anything anymore","loss_of_smell"
"My bladder feels uncomfortable", "I have discomfort in my bladder", "There’s a constant pressure in my bladder", "I’m feeling a sense of discomfort in my bladder", "My bladder hurts when I try to urinate", "I’m experiencing discomfort in the lower part of my abdomen", "My bladder area feels sore", "I feel a nagging discomfort in my bladder", "There’s a dull pain in my bladder", "I feel uncomfortable pressure around my bladder", "I have a strange sensation in my bladder", "My bladder feels tender", "I feel a bloated sensation in my bladder", "The discomfort in my bladder is making me uneasy", "I have persistent discomfort around my bladder","I’m experiencing discomfort in my bladder","My bladder feels uncomfortable","I have bladder discomfort","There’s pain in my bladder","I’m feeling a lot of discomfort in my bladder","I’m noticing discomfort in my bladder area","My bladder hurts when I urinate","I feel a constant discomfort in my bladder","I have an uncomfortable feeling in my bladder","There’s a dull pain in my bladder","I’m having bladder discomfort during urination","My bladder area feels tender and uncomfortable","I’m experiencing discomfort in my bladder","My bladder feels uncomfortable","I’m dealing with bladder discomfort","bladder_discomfort"
"My urine has a foul smell", "I notice a strong, unpleasant smell in my urine", "There’s a bad odor coming from my urine", "My urine smells very foul", "I’m experiencing foul-smelling urine", "I can smell a strange odor in my urine", "My urine has a pungent smell", "I’m noticing an unusual, unpleasant odor in my urine", "My urine gives off a strong, foul odor", "I’m having urine with a very bad smell", "The smell of my urine is unbearable", "There’s a noticeable foul smell when I urinate", "My urine smells like something’s off", "I’ve been noticing a foul smell in my urine","My urine smells foul","I’ve noticed a strange foul odor in my urine","My urine has an unpleasant smell","There’s a strong foul smell in my urine","My urine smells bad and it’s unusual","I’m noticing an awful smell in my urine","There’s a pungent odor coming from my urine","My urine has a foul, unpleasant odor","I can’t stand the smell of my urine","The smell of my urine is very strong and unpleasant","I’m noticing an abnormal foul smell in my urine","There’s a foul scent in my urine","My urine smells foul","foul_smell_of_urine"
"I constantly feel the urge to urinate", "I have a continuous sensation of needing to urinate", "I feel like I always need to go to the bathroom", "It feels like I have to urinate all the time", "I experience a constant urge to urinate", "I’m always aware of the need to urinate", "I feel the sensation of needing to urinate continuously", "I can’t shake the feeling of needing to urinate", "My bladder always feels full", "There’s a continuous feeling of fullness in my bladder", "I feel like I have to pee all the time", "It’s like there’s always urine in my bladder", "I feel an unrelenting need to urinate", "The feeling of needing to urinate never goes away","I feel like I need to urinate all the time","I constantly feel the urge to urinate","It feels like I’m always about to urinate","I’m experiencing a continuous urge to urinate","I feel like my bladder is full all the time","I’m always feeling like I need to use the bathroom","There’s a constant sensation of needing to urinate","I’m feeling like I can’t hold my urine","My bladder feels like it’s always full","I’m constantly thinking I need to urinate","I feel like I can’t stop the urge to urinate","I’m having an ongoing feeling of needing to urinate","I constantly feel like I need to urinate","I have a continuous urge to urinate","I feel like I always have to pee","I’m feeling the constant need to urinate","continuous_feel_of_urine"
"I am passing gas frequently", "I have been releasing gas often", "There’s a constant passage of gas", "I feel bloated due to the frequent passage of gas", "I keep passing gas throughout the day", "I notice an increase in the passage of gas", "There’s a lot of gas being passed", "I have an uncomfortable amount of gas in my stomach", "The passage of gas seems to never stop", "I’m releasing gas constantly", "I can’t control the frequent passage of gas", "I feel gassy all the time", "I’m passing gas more than usual", "There’s a persistent passage of gas","I’m passing gas frequently","I’m experiencing frequent gas passage","I can’t stop passing gas","I’m feeling gassy and passing a lot of wind","There’s constant gas passing from my body","I’m experiencing excessive flatulence","I’m passing gas much more than usual","My stomach feels bloated because of passing gas","I’m having trouble with excessive gas","I feel like I’m passing too much gas","I’m having more gas than normal","I’m constantly passing gas and feeling uncomfortable","I’m passing a lot of gas","I’m experiencing frequent passage of gas","I have increased gas passing","I’m noticing more gas than usual","passage_of_gases"
"I have an itching sensation inside my body", "I feel an internal itch that I can't scratch", "There’s an uncomfortable itching sensation within my skin", "I’m experiencing itching deep inside my body", "I feel an internal itch that's hard to relieve", "The itch seems to be inside my body, not on the surface", "I have an uncontrollable itch deep inside", "It feels like there's something itching inside me", "I’m dealing with a persistent internal itch", "My body feels itchy from the inside", "I’m feeling an internal itch that won’t go away", "It feels like something is itching inside me", "I have an internal itching sensation that’s hard to describe", "I’m constantly aware of an internal itching","I’m feeling an itch inside my body","I have an internal itching sensation","I’m experiencing itching deep inside my body","It feels like something inside my body is itching","There’s an uncomfortable itch inside me","I’m having strange internal itching","I feel like something is itching under my skin","I’m dealing with an internal itch that I can’t scratch","My body feels like it’s itching from the inside","I can’t relieve the internal itching","I feel an intense internal itch that won’t go away","It feels like I have an itch that’s deep inside my body","I feel itching inside my body","I’m experiencing internal itching","There’s an itch inside my body","internal_itching"
"My eyes have a dull, tired appearance", "I look pale and sickly", "I feel like I have a toxic look in my eyes", "My face looks exhausted and drained", "I have a worn-out, unhealthy appearance", "My skin looks pale, almost lifeless", "I have a sickly look, as if I’m not well", "There’s a noticeable exhaustion in my face", "I have a tired and weary expression", "I look feverish with a dull expression", "I have a worn and fatigued look on my face", "My eyes look glassy and dull", "I’m appearing ill with a fatigued expression", "I feel like I have a toxic, drained look","I have a toxic appearance","I look ill and weak","I have a pale and unhealthy appearance","My face looks sick and toxic","I appear to be in a toxic condition","I have a discolored and unhealthy look","I look fatigued and toxic","I’m noticing my skin looks sick and unhealthy","My face looks pale and exhausted","I look like I have a toxic appearance","I’m showing signs of a toxic look","I have a toxic look, similar to typhoid","toxic_look_(typhos)"
"I feel overwhelmed by sadness", "I have a constant feeling of hopelessness", "I find it hard to get excited about anything", "I feel drained and empty inside", "I can’t shake the sadness that weighs on me", "I feel like I’m stuck in a dark place", "Everything feels overwhelming and difficult", "I have trouble seeing the bright side of anything", "I feel like I’m losing interest in things I once loved", "I’m struggling to find joy in life", "I feel numb and disconnected from the world", "I constantly feel like I’m falling into a deep hole", "I have a sense of being trapped in my own mind", "I feel emotionally exhausted", "I’m experiencing depression and despair","I’m feeling depressed","I’m experiencing deep sadness","I feel emotionally down and drained","I’m having trouble feeling happy","I can’t shake this feeling of sadness","I feel hopeless and down","I’m struggling with depression","I’m not finding joy in anything","I feel overwhelmed by depression","My mood feels constantly low","I’m finding it hard to stay positive","I’m dealing with feelings of depression","I’m feeling depressed","I’m struggling with feelings of depression","I’m experiencing depression","depression"
"I feel easily frustrated by small things", "I get irritated over things that wouldn't normally bother me", "I’m snapping at people for no reason", "I feel like my patience is running thin", "I can’t seem to keep my temper in check", "Everything annoys me lately", "I get upset easily over minor inconveniences", "I feel on edge and irritable", "I’m getting irritated over things I can’t control", "I feel like I’m constantly in a bad mood", "I’m having a hard time staying calm", "I get frustrated quickly and can’t calm down", "I find myself getting angry for no apparent reason", "I’m losing my temper over trivial matters","I’m feeling irritable","I’m easily annoyed","I’m snapping at people for no reason","I feel agitated and irritable","I’m having trouble controlling my irritability","Everything is bothering me","I’m feeling moody and irritable","I’m easily frustrated these days","I’m getting upset over small things","I’m more irritable than usual","I’m struggling with my temper","I feel irritated all the time","I’m feeling more irritable than usual","I’m getting irritated easily","I’ve been feeling irritable lately","I’m dealing with a lot of irritability","irritability"
"My muscles feel sore and tender", "I have a dull ache in my muscles", "My muscles are stiff and painful", "I’m experiencing pain in my arms and legs", "I feel muscle pain after exerting myself", "My muscles hurt whenever I move", "There’s a constant ache in my muscles", "My muscles feel tight and painful", "I’m having difficulty moving due to muscle pain", "The pain in my muscles is affecting my daily activities", "I feel soreness in my back muscles", "My leg muscles are sore after walking", "I feel a burning sensation in my muscles", "I can’t seem to get rid of the muscle pain","I have muscle pain","My muscles hurt","I’m experiencing pain in my muscles","There’s soreness in my muscles","I feel discomfort in my muscles","I have aching muscles","My muscles are hurting and sore","I’m having trouble with muscle pain","I feel like my muscles are in pain","I’m dealing with muscle soreness","My muscles hurt when I move","I’m struggling with persistent muscle pain","I’m dealing with muscle pain","I have pain in my muscles","I’m experiencing soreness in my muscles","My muscles are hurting","muscle_pain"
"I’m feeling disoriented and confused", "My thinking is foggy and unclear", "I feel like I’m not fully aware of my surroundings", "I’m having trouble focusing and understanding things", "My thoughts seem jumbled and disconnected", "I feel like my mind is in a haze", "I’m unable to process information clearly", "I’m experiencing mental confusion and forgetfulness", "I feel spaced out and detached from reality", "I’m having difficulty concentrating and staying alert", "My perception of things around me is altered", "I feel confused and am having trouble making decisions", "I’m feeling mentally disoriented", "My awareness of my surroundings feels off","My senses are altered","I’m experiencing confusion and disorientation","I can’t think clearly","I feel out of touch with reality","My mind feels foggy","I’m having trouble processing information","I feel like my perception is off","My senses seem distorted","I’m struggling with altered awareness","I feel confused and disoriented","I can’t focus clearly due to altered sensorium","I feel like my thoughts aren’t my own","My sensorium feels altered","I’m experiencing changes in my sensory perception","My perception feels off","I’m dealing with an altered sensorium","altered_sensorium"
"I have red spots appearing all over my body", "There are multiple red spots on my skin", "I noticed small red spots covering my arms", "My skin is covered in red patches", "I see clusters of red spots on my legs", "There are red marks all over my torso", "I woke up with red spots on my body", "My skin has developed scattered red spots", "The red spots on my body are spreading", "I’m experiencing red patches on my arms and chest", "I have unexplained red spots on my back", "My body is covered in tiny red dots", "There are red rashes forming on my skin", "The red spots on my skin are slightly itchy","I have red spots all over my body","I’m noticing red spots on my skin","There are red spots on my body","I have visible red spots on my skin","My skin has red spots","I’m covered in red spots","I have a rash of red spots","I can see red spots on my body","My body is covered with red marks","I’m seeing red spots on my arms and legs","I’ve noticed red spots appearing all over me","My skin is breaking out with red spots","I have red spots on my body","I’m noticing red spots on my skin","There are red spots appearing on my body","I’ve got red spots scattered on my skin","red_spots_over_body"
"I have a sharp pain in my belly", "My belly has been aching since this morning", "There is a dull pain in my lower belly", "I feel discomfort and pain in my belly", "The pain in my belly comes and goes", "I woke up with a cramping pain in my belly", "My belly pain worsens after eating", "There is a burning sensation in my belly", "I have constant belly pain that won’t go away", "Pressing on my belly makes the pain worse", "The pain in my belly is spreading to my sides", "I feel bloated and have belly pain", "Belly pain is making it hard for me to move", "I experience belly pain along with nausea","I have pain in my belly","I’m experiencing abdominal pain","My belly hurts","I feel discomfort in my stomach","I have a sharp pain in my belly","I’m dealing with persistent belly pain","My stomach feels sore","I’m having cramps in my belly","I feel a dull ache in my belly","I’m struggling with stomach pain","There’s a pain in my abdominal area","My belly is sore and uncomfortable","I have pain in my belly","I’m experiencing abdominal pain","My stomach hurts","I’m dealing with belly pain","belly_pain"
"My periods have been irregular lately", "I am experiencing unusually heavy menstrual bleeding", "My menstrual cycle is shorter than normal", "I have missed my period for two months", "There are large clots in my menstrual flow", "My period is lasting much longer than usual", "I have spotting between my periods", "My periods have become very light", "I experience severe cramps with my period", "My menstrual cycle is unpredictable", "I am bleeding even after my period ended", "I have irregular periods along with hormonal issues", "My period flow keeps changing unpredictably", "I have painful and abnormal menstruation","My menstruation is abnormal","I’m experiencing irregular periods","My periods are off schedule","I’m having abnormal menstruation","My menstruation is heavier than usual","I’m dealing with irregular bleeding","My period is longer or shorter than usual","I’m noticing unusual menstruation patterns","I’m experiencing unexpected bleeding","My menstruation cycle isn’t normal","I have spotting between my periods","I’m having difficulty with abnormal menstruation","My menstruation is abnormal","I’m experiencing irregular menstruation","My periods are not normal","I’m dealing with abnormal menstruation","abnormal_menstruation"
"My skin has developed discolored patches", "I have uneven patches of pigmentation on my skin", "There are light and dark patches on my body", "My skin is losing its natural color in certain areas", "I notice some white patches on my arms", "Dark spots have appeared on my skin", "I have irregular skin discoloration", "My skin tone is becoming uneven", "There are unusual patches of different colors on my face", "I see faded spots on my hands", "Some areas of my skin are turning lighter", "I have developed unusual pigmentation", "The color of my skin is changing in patches", "I am experiencing discoloration on my legs","I have discolored patches on my skin","I’m noticing skin patches with different colors","There are discolored areas on my body","I have patches of skin that look different in color","My skin has discolored spots","I’m dealing with skin discoloration","I’m seeing uneven patches on my skin","There are abnormal color patches on my skin","My skin has uneven coloring","I’m experiencing dark or light patches on my skin","I have visible skin discoloration","I’m noticing strange color changes in my skin","I have patches of discolored skin","I’m noticing discoloration patches on my skin","My skin has patches of abnormal color","I’m dealing with discolored patches on my skin","dischromic_patches"
"My eyes keep watering", "I have excessive tears in my eyes", "My eyes are producing too many tears", "Tears are constantly flowing from my eyes", "I can't stop my eyes from watering", "My vision is blurry due to excessive tears", "My eyes are irritated and tearing up", "There is constant moisture in my eyes", "I have an uncontrollable tear flow", "My eyes are watering without any reason", "Even without crying, my eyes keep watering", "My eyes feel wet all the time", "Tears are running down my face frequently", "I experience excessive tearing throughout the day","My eyes are watering","I’m experiencing excessive tear production","My eyes won’t stop watering","There’s constant tearing from my eyes","I feel like my eyes are always watery","I can’t stop the watering in my eyes","I’m having trouble with watery eyes","My eyes are always leaking tears","I’m dealing with constant eye watering","My eyes keep producing tears","I’m noticing persistent tearing from my eyes","I’m struggling with watery eyes","My eyes are watering constantly","I’m experiencing excessive tear production","I have watery eyes","watering_from_eyes"
"I feel hungry all the time", "I keep craving food even after eating", "My appetite has significantly increased", "I eat more than usual but still feel hungry", "I can't seem to get full no matter how much I eat", "My hunger levels have been unusually high", "I always feel like snacking", "I get hungry again shortly after eating", "I feel the need to eat more frequently", "I wake up feeling extremely hungry", "Even after a big meal, I still want to eat", "My stomach rumbles even after eating", "I feel like I have an endless appetite", "I crave food at odd hours","I have an increased appetite","I feel like I’m always hungry","I’m eating more than usual","My appetite is larger than normal","I can’t stop eating","I’m experiencing hunger more often","I feel like I need to eat all the time","My hunger seems constant","I’m craving more food than usual","I’m eating excessively these days","I’m struggling with an increased appetite","I’m feeling hungrier than normal","I’m feeling hungrier than usual","I have an increased appetite","I’m eating more than I usually do","increased_appetite"
"I need to urinate more frequently than usual", "I find myself waking up multiple times at night to urinate", "My trips to the bathroom have increased significantly", "I have an unusually high urine output", "I feel like I need to urinate again shortly after going", "Even when I drink little water, I urinate a lot", "I constantly feel the urge to empty my bladder", "My urination frequency has increased drastically", "I have to use the restroom much more than before", "I feel like my bladder fills up too quickly", "I'm urinating so often that it disrupts my daily activities", "I can’t go long without needing to pee", "My body seems to be producing too much urine", "I notice that I pass large amounts of urine each time","I’m urinating a lot","I’m experiencing excessive urination","I can’t stop going to the bathroom","I’m urinating more frequently than usual","I feel like I need to pee all the time","I’m noticing increased urination","I’m urinating excessively","There’s a constant need to urinate","I’m going to the bathroom more than normal","I’m experiencing polyuria","I feel like I’m urinating all the time","I’m dealing with frequent urination","I’m urinating more frequently than usual","I have an increased urine output","I’m experiencing polyuria","polyuria"
"My family has a history of similar health issues", "Several members of my family have had this condition", "This illness runs in my family", "My parents also suffered from this", "I have relatives with the same medical problem", "There is a pattern of this disease in my family", "My doctor asked about my family’s medical background", "I was told this condition could be hereditary", "I am concerned because my sibling has the same symptoms", "Many of my close relatives have experienced this", "This seems to be a genetic condition in my family", "I have a strong family history of this illness", "My grandparents were also affected by this", "I’ve been advised to check my health due to my family history","I have a family history of illness","There’s a medical history of illness in my family","I come from a family with health issues","My family members have had similar conditions","My relatives have dealt with similar diseases","There’s a history of sickness in my family","Illnesses run in my family","I’m concerned because of my family’s health history","My family has a history of chronic conditions","My relatives have experienced this before","I have a strong family history of medical problems","Family members have had the same condition","My family has a history of health issues","There’s a family history of disease in my family","I have a family history of health problems","My relatives have dealt with similar health conditions","family_history"
"My cough produces thick mucoid sputum","I have been coughing up white mucoid sputum","There is a lot of mucoid sputum when I clear my throat","I notice mucoid sputum every time I cough","My mucus is thick and mucoid in texture","I constantly clear my throat due to mucoid sputum","My sputum is sticky and mucoid","I feel congested because of the mucoid sputum","I have persistent mucoid sputum in my throat","Coughing brings up a lot of mucoid sputum","The sputum I expel is thick and mucoid","I wake up with mucoid sputum in my mouth","Mucoid sputum makes it difficult to breathe properly","My chest feels heavy due to mucoid sputum","I’m coughing up mucoid sputum","I have thick, mucoid sputum when I cough","I’m producing mucus when I cough","My sputum is thick and mucoid","I’m dealing with mucoid sputum","I feel like I’m coughing up mucus","I’m experiencing a lot of mucus in my sputum","I’m having a mucoid consistency in my sputum","I’m coughing up thick, sticky mucus","There’s mucoid sputum coming up when I cough","My sputum has a thick, mucusy texture","I’m struggling with mucoid sputum production","I’m coughing up mucoid sputum","My sputum is thick and mucoid","I have mucoid sputum when I cough","I’m producing mucoid sputum","mucoid_sputum"
"My cough produces rusty sputum","I have been coughing up thick rusty sputum","There is a brownish-red tint to my sputum","I notice rusty sputum every time I clear my throat","My mucus appears discolored and rusty","I constantly clear my throat due to rusty sputum","My sputum has a rusty coloration","I feel congested because of the rusty sputum","I have persistent rusty sputum in my throat","Coughing brings up thick rusty sputum","The sputum I expel has a rusty tinge","I wake up with rusty sputum in my mouth","Rusty sputum makes it difficult to breathe properly","My chest feels heavy due to rusty sputum","I’m coughing up rusty sputum","There’s rust-colored sputum when I cough","My sputum is rusty in color","I’m producing rusty sputum when I cough","I feel like my sputum is rusty","I have a rusty color to my sputum","I’m noticing rusty streaks in my sputum","I’m coughing up sputum that’s rusty","There’s a reddish-brown tint to my sputum","I’m struggling with rusty-colored sputum","I’m dealing with rusty sputum production","My sputum has a rust-like color when I cough","I’m coughing up rusty sputum","My sputum has a rusty color","I’ve been producing rusty-colored sputum","I’m dealing with rusty sputum when I cough","rusty_sputum"
"I’m having trouble focusing on tasks","I find it hard to concentrate on anything","My mind keeps wandering, and I can’t concentrate","I’m struggling to stay focused on work","I can’t seem to concentrate for long periods","I feel like my attention span is getting shorter","I’m easily distracted and unable to concentrate","I’m having a hard time focusing on conversations","My thoughts are scattered, making concentration difficult","I keep losing track of what I’m doing due to lack of concentration","I can’t focus on reading or studying","I feel mentally foggy and have trouble concentrating","I’m finding it difficult to concentrate on important matters","I feel like my mind is all over the place, preventing focus","I’m having trouble concentrating","I’m struggling to focus","My concentration is poor","I can’t stay focused on anything","I’m easily distracted","I’m finding it hard to concentrate","I can’t seem to focus properly","I’m losing concentration quickly","I’m having difficulty keeping my attention on tasks","I’m experiencing a lack of focus","My mind keeps wandering","I’m struggling with concentration issues","I’m having trouble concentrating","I can’t focus properly","I’m dealing with a lack of concentration","I’m struggling to focus on tasks","lack_of_concentration"
"I’m experiencing blurry vision","My vision keeps flickering","I see things as if they’re out of focus","I’m having trouble seeing clearly","I’m noticing double vision","I have distorted vision","My vision feels blurry at times","I see spots or flashes in my vision","I’m having difficulty focusing my eyes","I feel like my vision is becoming hazy","I’m experiencing a sensation of seeing halos around lights","My vision is not as sharp as it usually is","I’m having trouble distinguishing between objects","I’m seeing things move in my peripheral vision","I’m having visual disturbances","My vision is blurry","I’m experiencing double vision","I’m noticing strange visual effects","I’m dealing with visual disturbances","My eyes are seeing things differently than usual","I’m seeing blurry or distorted images","I have trouble seeing clearly","My vision feels off","I’m experiencing visual anomalies","I’m seeing things out of focus","I have difficulties with my eyesight","I’m having visual disturbances","I’m noticing problems with my vision","I’m experiencing blurry vision","I’m struggling with visual disturbances","visual_disturbances"
"I am receiving a blood transfusion","I’m currently getting a blood transfusion","They are administering a blood transfusion to me","I’m undergoing a blood transfusion","I’m in the process of receiving a blood transfusion","I’ve been given a blood transfusion today","I’m getting a blood transfusion right now","I’ve had a blood transfusion recently","I am being transfused with blood","A blood transfusion is being performed on me","I’ve received a blood transfusion","I’ve had a blood transfusion in the past","I received blood from a donor","I’ve been through a blood transfusion procedure","I’ve had blood transfused to me","I’ve needed a blood transfusion","I was given a blood transfusion","I’ve received blood in a medical setting","I’ve undergone a blood transfusion","I’ve had transfused blood administered","I received blood to treat a medical condition","I’ve had a blood transfusion in the hospital","I’ve received a blood transfusion","I had a blood transfusion recently","I’ve been given blood in a transfusion","I’ve had a blood transfusion before","I’ve received a blood transfusion","I had a blood transfusion recently","I’ve been given blood in a transfusion","I’ve had a blood transfusion before","receiving_blood_transfusion"
"I am receiving unsterile injections","I’m currently getting unsterile injections","They are administering unsterile injections to me","I’m undergoing unsterile injections","I’m in the process of receiving unsterile injections","I’ve been given unsterile injections today","I’m getting unsterile injections right now","I’ve had unsterile injections recently","I am being injected with unsterile needles","Unsterile injections are being performed on me","I’ve received unsterile injections","I was given an unsterile injection","I’ve had injections from unsterile needles","I’ve received injections that may not be sterile","I’ve been injected with unsterile needles","I’ve had non-sterile injections","I’ve had unsterile injections before","I’m concerned about unsterile injections I received","I’ve been injected with unclean needles","I’ve had injections that may not have been properly sterilized","I’m worried about the sterility of the injections I’ve received","I’ve been given injections with unsterile equipment","I’ve received unsterile injections","I’ve been given injections that weren’t sterile","I’ve had unsterile injections in the past","I received injections with unsterile needles","I’ve received unsterile injections","I’ve been given injections that weren’t sterile","I’ve had unsterile injections in the past","I received injections with unsterile needles","receiving_unsterile_injections"
"I am in a coma","The patient is in a coma","She is in a state of coma","He fell into a coma","They are currently in a coma","The coma is affecting my health","The coma has lasted for several days","I am unconscious due to coma","He has been in a coma for a week","The coma is severe and persistent","I’ve been in a coma","I’ve experienced a coma","I’ve lost consciousness in a coma","I was in a comatose state","I’ve been unconscious for a prolonged period","I was in a coma for a while","I’ve experienced a deep coma","I’ve been in a life-threatening coma","I was in a medically induced coma","I lost consciousness and was in a coma","I’ve been in a coma due to a health condition","I’ve suffered from a coma after an injury","I’ve been in a coma","I was in a coma before","I’ve experienced a coma","I’ve had a coma episode","I’ve been in a coma","I was in a coma before","I’ve experienced a coma","I’ve had a coma episode","coma"
